,0,1
Year,notWhite,isWhite
2005,9692,9543
2006,10026,9747
2007,9777,9724
2008,9233,9646
2009,8764,9075
2010,8663,8617
2011,8768,8435
2012,9184,8694
2013,8910,8305
2014,8757,8083
2015,10087,8798
