Date,Query,BBC News,CNN,FOX News,MSNBC,Total_%,Num_Sentences
8/24/17,Hurricane Harvey,0.0,1.2002044293015333,1.273901192504259,0.6158943781942079,0.2935,1052.8109028960819
8/25/17,Hurricane Harvey,1.8090385668465934,5.846971228957326,4.871942340904479,4.042047863291604,2.5566,527.2627708675585
8/26/17,Hurricane Harvey,3.875965124831436,8.187317993037802,7.81690581072619,6.639811071404575,3.6682,271.2502044599531
8/27/17,Hurricane Harvey,5.106473599407707,10.83590556365927,10.906171347449355,9.27144948948367,0.8496,1129.9435028248588
8/28/17,Hurricane Harvey,7.5992298087156405,17.486399896912225,14.571018224710025,16.023352069662113,0.8293999999999999,2358.3313238485653
8/29/17,Hurricane Harvey,12.488408404489327,21.830895466101047,22.681607863428496,21.509088265981134,0.8802,2593.7286980231765
8/30/17,Hurricane Harvey,14.476671194331065,25.48096048879765,29.031855685781583,25.55051263108971,0.8151,1966.6298613667034
8/31/17,Hurricane Harvey,17.354032996556704,29.389059647397126,33.53011317243679,29.29679418360939,1.1053,1359.8118157966164
9/1/17,Hurricane Harvey,18.346267302043604,32.34226846033407,37.643930699447594,32.32753353817475,1.4161000000000001,783.1367841254148
9/2/17,Hurricane Harvey,19.204499468191894,34.066458286761275,40.38191605110807,34.00712619393877,1.9933999999999998,351.15882411959467
9/3/17,Hurricane Harvey,19.609484265022264,35.11941875852023,41.76691374759752,36.624183228859984,1.0853000000000002,503.0867041371049
9/4/17,Hurricane Harvey,19.79287668768476,37.04503919647644,44.309624905053205,39.102459210785604,0.8631,826.0919939752057
9/5/17,Hurricane Harvey,21.78799984039412,40.332931916782954,48.37230142393662,41.78676681888631,0.5480999999999999,2194.8549534756435
9/6/17,Hurricane Harvey,22.367924183963325,43.85261593992492,51.45877227395887,43.930687602152894,0.6741000000000001,1384.0676457498885
9/7/17,Hurricane Harvey,23.239930194481733,45.43731917057856,54.40598489604753,45.966765738892185,0.5324,1397.4455296769347
9/8/17,Hurricane Harvey,23.49983944404543,47.61905739047385,57.207506711056254,47.88359645442447,0.573,1249.56369982548
9/9/17,Hurricane Harvey,23.49983944404543,47.79382982220337,59.51641438335795,49.59991635039326,0.3076,1365.4096228868661
9/10/17,Hurricane Harvey,23.869072197107972,48.29211479963728,61.428896652861496,49.59991635039326,0.1551,1792.3920051579628
9/11/17,Hurricane Harvey,24.634090586973112,48.81847360633937,63.61442995895059,50.12300584773694,0.24470000000000003,1634.654679199019
9/12/17,Hurricane Harvey,24.833741241994947,50.271486706776045,66.11006314672352,51.0547089045055,0.1832,2772.92576419214
9/13/17,Hurricane Harvey,24.833741241994947,50.76352159049698,68.85680733277003,52.46592983473806,0.086,5406.976744186047
9/14/17,Hurricane Harvey,25.528261789940153,51.78545896818778,70.26569187288744,52.72058736898464,0.1022,3307.2407045009786
9/15/17,Hurricane Harvey,25.528261789940153,51.78545896818778,71.58260990567433,54.063669336197755,0.0305,8721.311475409837
9/16/17,Hurricane Harvey,25.626217764782922,51.887613056238095,72.0779872641649,54.25818191481411,0.0636,1399.3710691823899
9/17/17,Hurricane Harvey,25.626217764782922,52.477328965329,72.558271355074,54.25818191481411,0.0176,6079.545454545454
9/18/17,Hurricane Harvey,25.626217764782922,52.477328965329,75.438271355074,54.25818191481411,0.0171,16842.105263157893
9/19/17,Hurricane Harvey,25.626217764782922,52.477328965329,75.438271355074,56.21818191481411,0.0142,13802.81690140845
9/20/17,Hurricane Harvey,26.482824907640065,52.477328965329,76.20086064078828,56.93898548624268,0.0224,10446.42857142857
9/21/17,Hurricane Harvey,26.482824907640065,52.868287490674625,77.16969013387583,57.2691974678095,0.1085,1557.6036866359448
9/22/17,Hurricane Harvey,26.482824907640065,53.459473388110524,77.70001865951686,57.69768304473258,0.12480000000000001,1241.9871794871794
9/23/17,Hurricane Harvey,26.495079549549878,53.459473388110524,77.7943953173418,57.71105174499783,0.07540000000000001,159.15119363395223
9/24/17,Hurricane Harvey,26.495079549549878,53.459473388110524,77.8343953173418,57.71105174499783,0.0156,256.4102564102564
9/25/17,Hurricane Harvey,26.495079549549878,53.459473388110524,77.8343953173418,57.71105174499783,0.047,0.0
