Date,Query,BBC News,CNN,FOX News,MSNBC,Total_%,Num_Sentences
8/31/17,Hurricane Irma,0.0,0.11348837209302327,0.49651162790697684,0.0,0.0387,1576.2273901808787
9/1/17,Hurricane Irma,0.0,0.4509434205024285,0.7746305767313199,0.04442600276625173,0.21689999999999998,304.28769017980636
9/2/17,Hurricane Irma,0.0,0.4875662578726707,1.0439454556240535,0.09848828650327594,0.14450000000000002,249.13494809688578
9/3/17,Hurricane Irma,0.0,0.52474452288697,1.3621914041464558,0.26306407296657436,0.1049,495.7102001906578
9/4/17,Hurricane Irma,0.3625015832805573,1.3407229902713906,2.113787350948229,0.5429880754998233,0.31579999999999997,699.8100063331223
9/5/17,Hurricane Irma,2.8272695647190718,3.696511853380439,4.103010088767254,1.6632084931332338,1.1206,707.6566125290022
9/6/17,Hurricane Irma,9.827123914207476,7.900068638873648,7.489056769756222,3.753750677162656,2.7462999999999997,607.3626333612498
9/7/17,Hurricane Irma,17.851622408015352,13.538018544039328,10.89062544096006,6.629733606985259,3.5852000000000004,556.1753877050094
9/8/17,Hurricane Irma,24.475061921782196,19.11265094005573,15.681028194328542,10.131258943833531,4.0968,500.14645577035736
9/9/17,Hurricane Irma,28.453726486295576,22.607745323897557,19.786107451188947,14.502420738617918,4.6936,339.8244417930799
9/10/17,Hurricane Irma,40.39520079180658,28.622141936459307,25.275774481406437,16.496882790327675,3.1174000000000004,816.0646692756784
9/11/17,Hurricane Irma,48.485342395148976,33.58719367074975,31.567278841667772,21.3101850924335,3.5663,677.4528222527549
9/12/17,Hurricane Irma,52.31958392196701,36.964706010335135,35.36212747608699,24.18358259161086,2.4312,570.9114840408029
9/13/17,Hurricane Irma,56.02431659523434,40.54211030076418,37.132515264865866,25.701057839135615,1.212,872.1122112211222
9/14/17,Hurricane Irma,58.43536319196525,42.82091000800985,39.30256649687367,27.801160303151228,1.6396000000000002,546.4747499390095
9/15/17,Hurricane Irma,58.95573053890403,44.325991640662906,40.24370935401653,29.714568466416534,0.392,1244.8979591836735
9/16/17,Hurricane Irma,59.3852749968821,45.165065940297495,41.44073736863285,30.408921694187544,0.4105,769.7929354445798
9/17/17,Hurricane Irma,59.530722599767124,46.01497684398863,41.97231988878559,31.32198066745865,0.47140000000000004,517.6071277047093
9/18/17,Hurricane Irma,60.53333356582456,46.9893893766257,42.95247654674904,31.964800510800686,0.6894,522.1932114882507
9/19/17,Hurricane Irma,64.05003856135286,47.998779947725744,43.55193994268618,32.58924154823521,0.7827,734.6365146288489
9/20/17,Hurricane Irma,64.8637345917182,48.864666394032874,44.38081863950731,33.080780374741614,0.6323,474.45832674363436
9/21/17,Hurricane Irma,65.50957232874026,49.82079943724083,45.16836604392136,33.31126219009754,0.3217,814.4233758159777
9/22/17,Hurricane Irma,65.74258426629765,50.203260410610895,45.97024850489473,33.64390681819671,0.1089,1606.9788797061524
9/23/17,Hurricane Irma,65.75917878289218,50.213650021000504,45.97501040965663,33.66216078645068,0.0693,72.15007215007215
9/24/17,Hurricane Irma,,,,,0.0,inf
9/25/17,Hurricane Irma,65.75917878289218,50.213650021000504,45.97501040965663,33.66216078645068,0.0441,0.0
